name,price,Brand,Collection,Series,Model No,Features,Movement,Calibre,Case Size,Case Thickness,Case Shape,Case Material,Case Back,Glass Material,Luminosity,Dial Colour,Hands,Indexes,Strap Material,Strap Colour,Clasp Type,Buckle/Clasp Material,EAN,Gender,Water Resistance (M),Warranty Period,Country of Origin,Reference,Display,Power Reserve,Jewels,Frequency,Precious Stone,Interchangeable Strap,Bezel,Lug Width,Limited Edition,Diameter,Date,Chronograph,Base,Frequency (bph),Power Reserve (hours),jewels,Dial Type
Luminor 8 Giorni,651100,Panerai,Luminor,,PAM00914,,Manual Winding,P.5000,44.0,,Round,Steel,See-through Case Back,Sapphire Crystal,,Black,,,Leather,Brown,,,7613375223726.0,Men,300,2 Year + 6 year warranty extension by registering here,Switzerland,P.5000,Analog,,,,,0,,,0,,,,,,,,
Admiral 42 Chronograph,716000,Corum,Admiral,Admiral 42,984.101.20/V705 AA12,"Chronograph, Date, Small Seconds",Automatic,CO 984,42.0,,Round,Steel,,Sapphire Crystal,,Silver,,,Steel,Silver,Folding Clasp,,,Men,30,2 Years,Switzerland,CO 984,Analog,approx. 42 hours,37.0,28800 bph,,0,,,0,,,,,28800.0,0.42,,
Conquest Classic,114000,Longines,Conquest Classic,,L2.286.3.72.7,Date,Quartz,L152,29.5,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,Silver,,,Steel & Rose Gold PVD,Silver & Rose Gold,Folding Clasp,,,Women,50,2 Years,Switzerland,L152,Analog,,,,,0,,,0,,,,,,,,
Conquest Classic,157000,Longines,Conquest Classic,,L2.286.3.87.7,Date,Quartz,L152,29.5,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,MOP,,,Steel & Rose Gold PVD,Silver & Rose Gold,Folding Clasp,,7612356212964.0,Women,50,2 Years,Switzerland,L152,Analog,,,,On Dial,0,,,0,,,,,,,,
Conquest Classic,114000,Longines,Conquest Classic,,L2.386.3.72.7,Date,Quartz,L156,34.0,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,Silver,,,Steel & Rose Gold PVD,Silver & Rose Gold,Folding Clasp,,7612356212995.0,Women,50,2 Years,Switzerland,L156,Analog,,,,,0,,,0,,,,,,,,
Conquest Classic,157000,Longines,Conquest Classic,,L2.386.3.87.7,Date,Quartz,,34.0,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,MOP,,,Steel & Rose Gold PVD,Silver & Rose Gold,,,7612356213008.0,Women,50,2 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
Conquest Classic,114000,Longines,Conquest Classic,,L2.386.3.92.7,Date,Quartz,L156,34.0,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,Blue,,,Steel & Rose Gold PVD,Silver & Rose Gold,Folding Clasp,,7612356213015.0,Women,50,2 Years,Switzerland,L156,Analog,,,,,0,,,0,,,,,,,,
The Longines Master Collection,308000,Longines,The Longines Master Collection,,L2.759.4.92.0,"Chronograph, Date",Automatic,L688,42.0,,Round,Steel,,Sapphire Crystal,,Blue,,,Leather,Blue,,,,Men,30,5 Years,Switzerland,L688,Analog,,,,,0,,,0,,,,,,,,
The Longines Legend Diver Watch,303000,Longines,Longines Legend Diver,,L3.774.1.50.2,Date,Automatic,,42.0,,Round,Bronze,,Sapphire Crystal,,Green,,,Leather,Brown,,,7612356213763.0,Men,300,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Big Crown Propilot Timer GMT,287500,Oris,ProPilot,Big Crown ProPilot Timer GMT,01 748 7756 4064-07 8 22 08,"Date, GMT, Small Seconds",Automatic,748,44.0,13.1,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Black,Alpha,Arabic Numerals,Steel,Silver,Folding Clasp,Steel,7612611032603.0,Men,100,"2 Years, register on My Oris  to extend your warranty for free to 3 Years",Switzerland,748,Analog,approx. 38 hours,28.0,28800 bph,,0,,22.0,0,,,,,28800.0,0.38,,
Captain Cook Automatic Bronze,282500,Rado,Captain Cook,,R32504315,Date,Automatic,,42.0,,Round,Bronze,,Sapphire Crystal,,Green,,,Leather,Green,Pin Buckle,,7612819060286.0,Men,300,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Captain Cook Automatic,227100,Rado,Captain Cook,,R32105203,Date,Automatic,,42.0,,Round,Steel & Ceramic,,Sapphire Crystal,,Blue,,,Steel,Silver,Folding Clasp,,7612819059983.0,Men,300,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Captain Cook Automatic,227100,Rado,Captain Cook,,R32105313,Date,Automatic,,42.0,,Round,Steel & Ceramic,,Sapphire Crystal,,Green,,,Steel,Silver,Folding Clasp,,7612819060873.0,Men,300,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Captain Cook Automatic,216100,Rado,Captain Cook,,R32500203,Date,Automatic,,37.0,,Round,Steel & Ceramic,,Sapphire Crystal,,Blue,,,Steel,Silver,Folding Clasp,,,Women,100,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Captain Cook,216100,Rado,Captain Cook,,R32500323,Date,Automatic,,37.0,,Round,Steel & Ceramic,,Sapphire Crystal,,Green,,,Steel,Silver,Folding Clasp,,7612819059631.0,Unisex,100,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Captain Cook Automatic,216100,Rado,Captain Cook,,R32500013,Date,Automatic,,37.0,,Round,Steel & Ceramic,,Sapphire Crystal,,Silver,,,Steel,Silver,,,,Women,100,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
True Secret Diamonds,249300,Rado,True Round,,R27107732,Date,Automatic,Caliber C07,40.0,,Round,Ceramic,,Sapphire Crystal,,Black,,,Ceramic,Black,,,7612819060576.0,Unisex,50,5 Years,Switzerland,Caliber C07,Analog,,,,On Dial,0,,,0,,,,,,,,
True Round Secret Diamonds,249300,Rado,True Round,,R27108732,Open Balance Wheel,Automatic,Caliber C07,40.0,,Round,Ceramic,,Sapphire Crystal,,Blue,,,Ceramic,Silver,,,7613285445089.0,Unisex,50,5 Years,Switzerland,Caliber C07,Analog,approx. 80 hours,,,On Dial,0,,,0,,,,,,0.8,,
True Square Automatic Diamonds,249300,Rado,True Square,,R27078702,Date,Automatic,,38.0,,Square,Ceramic,,Sapphire Crystal,,Black,,,Ceramic,Black,,,7612819059419.0,Men,50,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
True Square Diamonds,210500,Rado,True Square,,R27080702,Date,Quartz,,29.0,,Square,Ceramic,,Sapphire Crystal,,Black,,,Ceramic,Black,,,7612819059808.0,Women,50,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
True Square Automatic Diamonds,227100,Rado,True Square,,R27078722,Date,Automatic,,38.0,,Square,Ceramic,,Sapphire Crystal,,Black,,,Ceramic,Black,,,7612819059396.0,Men,50,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
True Square Diamonds,188400,Rado,True Square,,R27080722,Date,Quartz,,29.0,,Square,Ceramic,,Sapphire Crystal,,Black,,,Ceramic,Black,,,7612819059327.0,Women,50,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
True Square Automatic Diamonds,257300,Rado,True Square,,R27077702,Date,Automatic,,38.0,,Square,Ceramic,,Sapphire Crystal,,Grey,,,Ceramic,Grey,,,7612819059372.0,Men,50,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
True Square Diamonds,221300,Rado,True Square,,R27079702,Date,Quartz,,29.0,,Square,Ceramic,,Sapphire Crystal,,Grey,,,Ceramic,Grey,,,7612819059303.0,Women,50,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
True Square Automatic Open Heart,254800,Rado,True Square,,R27086162,Open Balance Wheel,Automatic,Caliber C07,38.0,,Square,Ceramic,,Sapphire Crystal,,Skeleton,,,Ceramic,Black,,,7612819059334.0,Men,50,5 Years,Switzerland,Caliber C07,Analog,,,,,0,,,0,,,,,,,,
True Square Automatic Open Heart,257300,Rado,True Square,,R27083202,Open Balance Wheel,Automatic,Caliber C07,38.0,,Square,Ceramic,,Sapphire Crystal,,Skeleton,,,Ceramic,Grey,,,7612819059341.0,Men,50,5 Years,Switzerland,Caliber C07,Analog,,,,,0,,,0,,,,,,,,
True Square Automatic Open Heart,310200,Rado,True Square,,R27073702,Open Balance Wheel,Automatic,Caliber C07,38.0,,Square,Ceramic,,Sapphire Crystal,,Skeleton,,,Ceramic,Cream,,,7612819061085.0,Unisex,50,5 Years,Switzerland,Caliber C07,Analog,,,,,0,,,0,,,,,,,,
True Thinline Automatic Diamonds,267600,Rado,True Thinline,,R27113722,Date,Automatic,,40.0,,Round,Ceramic,,Sapphire Crystal,,Black,,,Ceramic,Black,,,7612819060644.0,Unisex,50,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
True Thinline Automatic,236700,Rado,True Thinline,,R27113172,Date,Automatic,,40.0,,Round,Ceramic,,Sapphire Crystal,,Black,,,Ceramic,Black,,,7612819060484.0,Unisex,30,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
True Round Thinline Anima,310200,Rado,True Round,,R27112312,Date,Automatic,,40.0,9.0,Round,Ceramic,See-through Case Back,Sapphire Crystal,,Skeleton,,,Ceramic & Titanium,Green,Folding Clasp,,7612819060439.0,Unisex,30,5 Years,Switzerland,,,,,,,0,,,1,,,,,,,,
HyperChrome Automatic Diamonds,476400,Rado,HyperChrome,,R32052012,Date,Automatic,,36.0,,Round,Ceramic,,Sapphire Crystal,,Silver,,,Ceramic,Silver,,,,Women,50,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Golden Horse Automatic,188400,Rado,HyperChrome Classic,,R33930313,Date,Automatic,,37.0,,Round,Ceramic,,Sapphire Crystal,,Green,,,Ceramic,Silver,,,7612819059730.0,Men,50,5 Years,Switzerland,,,,,,,0,,,1,,,,,,,,
Centrix Diamonds,193900,Rado,Centrix,,R30935752,Date,Quartz,,28.0,,Round,Steel,,Sapphire Crystal,,Black,,,Steel & Ceramic,Silver & Black,,,7612819061054.0,Women,30,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
Centrix,144000,Rado,Centrix,,R30934172,Date,Quartz,,38.0,,Round,Steel,,Sapphire Crystal,,Black,,,Steel & Ceramic,Silver & Black,,,7612819060385.0,Men,30,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Centrix,144000,Rado,Centrix,,R30528172,Date,Quartz,,28.0,,Round,Steel & Yellow Gold PVD,,Sapphire Crystal,,Black,,,Ceramic & Yellow Gold PVD,Black & Yellow Gold,,,7612819060354.0,Women,30,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Centrix Diamonds,205000,Rado,Centrix,,R30555732,Date,Quartz,,28.0,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,Black,,,Ceramic & Rose Gold PVD,Black & Rose Gold,,,7612819060132.0,Women,30,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Centrix,144000,Rado,Centrix,,R30555172,Date,Quartz,,28.0,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,Black,,,Ceramic & Rose Gold PVD,Black & Rose Gold,,,7612819060590.0,Women,30,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Centrix Diamonds,211000,Rado,Centrix,,R30554762,Date,Quartz,,38.0,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,Silver,,,Ceramic & Rose Gold PVD,Silver & Rose Gold,,,7612819060101.0,Men,30,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Centrix Diamonds,205000,Rado,Centrix,,R30555762,Date,Quartz,,28.0,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,Silver,,,Ceramic & Rose Gold PVD,Silver & Rose Gold,,,7612819060149.0,Women,30,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
Centrix,155100,Rado,Centrix,,R30554022,Date,Quartz,,38.0,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,White,,,Ceramic & Rose Gold PVD,Silver & Rose Gold,,,7612819060361.0,Men,30,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Centrix,144000,Rado,Centrix,,R30555022,Date,Quartz,,28.0,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,White,,,Ceramic & Rose Gold PVD,Silver & Rose Gold,,,7612819060583.0,Women,30,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Florence Classic Diamonds,133800,Rado,Florence,,R48889743,Date,Quartz,,38.0,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,Brown,,,Steel & Rose Gold PVD,Rose Gold,,,,Women,30,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
Florence Classic Diamonds,133800,Rado,Florence,,R48893743,Date,Quartz,,28.0,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,Brown,,,Steel & Rose Gold PVD,Rose Gold,,,7612819060668.0,Women,30,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
The Original Automatic,155400,Rado,DiaStar Original,,R12064253,Open Balance Wheel,Automatic,,35.0,,Round,Steel & Yellow Gold PVD,,Sapphire Crystal,,Skeleton,,,Steel & Yellow Gold PVD,Yellow Gold,,,7612819061030.0,Men,30,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Highlife Heart Beat Automatic,218000,Frederique Constant,Highlife,Highlife Heart Beat Automatic,FC-310V4NH4,,Automatic,FC-310,41.0,,Round,Steel & Rose Gold Plated,,Sapphire Crystal,,Silver,,,Leather,Brown,,,7688200333758.0,Men,50,2 Years,Switzerland,FC-310,Analog,approx. 38 hours,26.0,28800 bph,,0,,,0,,,,,28800.0,0.38,,
Highlife Automatic COSC,227500,Frederique Constant,Highlife,Highlife Automatic COSC,FC-303B4NH4,Date,Automatic,FC-303,41.0,,Round,Steel & Rose Gold Plated,,Sapphire Crystal,,Black,,,Leather,Brown,,,7688200333819.0,Men,50,2 Years,Switzerland,FC-303,Analog,approx. 38 hours,26.0,28800 bph,,0,,,0,,,,,28800.0,0.38,,
Highlife Automatic COSC,189500,Frederique Constant,Highlife,Highlife Automatic COSC,FC-303N4NH6B,Date,Automatic,FC-303,41.0,,Round,Steel,,Sapphire Crystal,,Blue,,,Steel,Silver,,,7688200333826.0,Men,50,2 Years,Switzerland,FC-303,Analog,approx. 38 hours,26.0,28800 bph,,0,,,0,,,,,28800.0,0.38,,
Highlife Automatic Cosc,180000,Frederique Constant,Highlife,Highlife Automatic COSC,FC-303S4NH6,Date,Automatic,FC-303,41.0,,Round,Steel,,Sapphire Crystal,,Silver,,,Leather,Black,,,7688200333840.0,Men,50,2 Year,Switzerland,FC-303,Analog,approx. 38 hours,26.0,28800 bph,,0,,,0,,,,,28800.0,0.38,,
Highlife Heart Beat Automatic,199000,Frederique Constant,Highlife,Highlife Heart Beat Automatic,FC-310N4NH6B,,Automatic,FC-310,41.0,,Round,Steel,,Sapphire Crystal,,Blue,,,Steel,Silver,,,7688200333741.0,Men,50,2 Years,Switzerland,FC-310,Analog,approx. 38 hours,26.0,28800 bph,,0,,,0,,,,,28800.0,0.38,,
Highlife Heart Beat Automatic,199000,Frederique Constant,Highlife,Highlife Heart Beat Automatic,FC-310B4NH6B,,Automatic,FC-310,41.0,,Round,Steel,,Sapphire Crystal,,Black,,,Steel,Silver,,,7688200333734.0,Men,50,2 Year,Switzerland,FC-310,Analog,approx. 38 hours,26.0,28800 bph,,0,,,0,,,,,28800.0,0.38,,
Manero Flyback,719712,Carl F. Bucherer,Manero,Flyback,00.10919.08.53.01,"Date, Flyback Chronograph, Small Seconds, Tachymeter",Automatic,CFB 1970,43.0,14.45,Round,Steel,See-through Case Back,Sapphire Crystal,,Blue,Dauphine,Wedge,Textile,Blue,Folding Clasp,Steel,,Men,30,2 Years,Switzerland,CFB 1970,Analog,approx. 42 hours,29.0,28800 bph,,0,,,0,,,,,28800.0,0.42,,
Manero Flyback,772632,Carl F. Bucherer,Manero,Flyback,00.10919.08.53.21,"Date, Flyback Chronograph, Small Seconds, Tachymeter",Automatic,CFB 1970,43.0,14.45,Round,Steel,See-through Case Back,Sapphire Crystal,,Blue,Dauphine,Wedge,Steel,Silver,Folding Clasp,Steel,,Men,30,2 Years,Switzerland,CFB 1970,Analog,approx. 42 hours,29.0,28800 bph,,0,,,0,,,,,28800.0,0.42,,
Longines Spirit,203000,Longines,Longines Spirit,,L3.811.4.53.3,Date,Automatic,L888.4,42.0,,Round,Steel,,Sapphire Crystal,,Black,,,Leather,Brown,,,7612356213565.0,Men,100,5 Years,Switzerland,L888.4,Analog,approx. 64 hours,,25200 bph,,0,,,0,,,,,25200.0,0.64,,
Longines Spirit,228000,Longines,Longines Spirit,,L3.811.4.53.6,Date,Automatic,L888.4,42.0,,Round,Steel,,Sapphire Crystal,,Black,,,Steel,Silver,,,7612356213572.0,Men,100,5 Years,Switzerland,L888.4,Analog,approx. 64 hours,,25200 bph,,0,,,0,,,,,25200.0,0.64,,
Longines Spirit,228000,Longines,Longines Spirit,,L3.811.4.73.2,Date,Automatic,L888.4,42.0,,Round,Steel,,Sapphire Crystal,,Silver,,,Leather,Brown,,,7612356213589.0,Men,100,5 Years,Switzerland,L888.4,Analog,approx. 64 hours,,25200 bph,,0,,,0,,,,,25200.0,0.64,,
Longines Spirit,203000,Longines,Longines Spirit,,L3.811.4.73.4,Date,Automatic,,42.0,,Round,Steel,,Sapphire Crystal,,Silver,,,Leather,Brown,,,7612356213596.0,Men,100,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Eliros Green 40mm,81000,Maurice Lacroix,Eliros,,EL1118-PVP01-610-1,Date,Quartz,,40.0,8.0,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,Green,Alpha,Roman Numerals,Leather,Green,Pin Buckle,Steel & Rose Gold PVD,7630020610182.0,Men,50,2 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Pontos Day Date 41mm,216000,Maurice Lacroix,Pontos,,PT6358-BRZ01-63E-3,Day-Date,Automatic,ML143,41.0,,Round,Bronze,See-through Case Back,Sapphire Crystal,On Hands,Green,Baton,Baton,Leather,Brown,Folding Clasp,Bronze,7630020610823.0,Men,100,2 Years,Switzerland,ML143,Analog,approx. 38 hours,26.0,28800 bph,,0,,,0,,,,,28800.0,0.38,,
Aikon Automatic 42mm,232000,Maurice Lacroix,Aikon,Aikon Automatic,AI6008-SS002-330-2,Date,Automatic,ML115,42.0,11.0,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Black,,,Steel,Silver,Folding Clasp,Steel,7630020610625.0,Men,200,2 Years,Switzerland,ML115,Analog,approx. 38 hours,26.0,28800 bph,,0,,,0,,,,,28800.0,0.38,,
Chronomat B01 42,785900,Breitling,Chronomat,,AB0134101G1A1,"Chronograph, Date, Small Seconds",Automatic,B01,42.0,,Round,Steel,,Sapphire Crystal,"On Hands, Hour Markers",Multicolour,,,Steel,Silver,Folding Clasp,,,Men,200,5 Years,Switzerland,B01,Analog,approx. 70 hours,47.0,28800 bph,,0,Unidirectional Rotating Bezel,,0,,,,,28800.0,0.7,,
Chronomat B01 42,785900,Breitling,Chronomat,,AB0134101C1A1,"Chronograph, Date, Small Seconds, Tachymeter, 1/4th seconds",Automatic,Breitling 01 (Manufacture),42.0,15.1,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Blue,Pencil,Baton,Steel,Silver,Folding Clasp,Steel,,Men,200,5 Years,Switzerland,Breitling 01 (Manufacture),Analog,approx. 70 hours,47.0,28800 bph,,0,Unidirectional Rotating Bezel,22.0,0,,,,,28800.0,0.7,,
Chronomat B01 42,785900,Breitling,Chronomat,,AB0134101K1A1,"Chronograph, Date, Small Seconds, Tachymeter, 1/4th seconds",Automatic,Breitling 01 (Manufacture),42.0,15.1,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Salmon,Pencil,Baton,Steel,Silver,Folding Clasp,Steel,,Men,200,5 Years,Switzerland,Breitling 01 (Manufacture),Analog,approx. 70 hours,47.0,28800 bph,,0,Unidirectional Rotating Bezel,22.0,0,,,,,28800.0,0.7,,
Chronomat B01 42,1199700,Breitling,Chronomat,,UB0134101B1U1,"Chronograph, Date, Small Seconds, Tachymeter, 1/4th seconds",Automatic,Breitling 01 (Manufacture),42.0,15.1,Round,Steel & Rose Gold,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Anthracite,Pencil,Baton,Steel & Rose Gold,Silver & Rose Gold,Folding Clasp,Steel,,Men,200,5 Years,Switzerland,Breitling 01 (Manufacture),Analog,approx. 70 hours,47.0,28800 bph,,0,Unidirectional Rotating Bezel,22.0,0,,,,,28800.0,0.7,,
Chronomat B01 42,1199700,Breitling,Chronomat,,UB0134101C1U1,"Chronograph, Date, Small Seconds, Tachymeter, 1/4th seconds",Automatic,Breitling 01 (Manufacture),42.0,15.1,Round,Steel & Rose Gold,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Blue,Pencil,Baton,Steel & Rose Gold,Silver & Rose Gold,Folding Clasp,Steel,,Men,200,5 Years,Switzerland,Breitling 01 (Manufacture),Analog,approx. 70 hours,47.0,28800 bph,,0,Unidirectional Rotating Bezel,22.0,0,,,,,28800.0,0.7,,
Navitimer Automatic 35,446400,Breitling,Navitimer,,A17395161C1P2,,Automatic,Breitling 17,35.0,9.9,Round,Steel,,Sapphire Crystal,On Hands,Blue,Pencil,Baton,Leather,Blue,Folding Clasp,Steel,,Women,30,2 Years,Switzerland,Breitling 17,Analog,approx. 38 hours,25.0,28800 bph,,0,Bi-directional Rotating Bezel,18.0,0,,,,,28800.0,0.38,,
Navitimer Automatic 35,530100,Breitling,Navitimer,,A17395211A1P2,,Automatic,B17,35.0,,Round,Steel,,Sapphire Crystal,,MOP,,,Leather,Red,,,,Women,30,5 Years,Switzerland,B17,Analog,approx. 38 hours,25.0,28800 bph,On Dial,0,Bi-directional Rotating Bezel,,0,,,,,28800.0,0.38,,
Conquest Classic,114000,Longines,Conquest Classic,,L2.286.3.92.7,Date,Quartz,L152,29.5,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,Blue,,,Steel & Rose Gold PVD,Silver & Rose Gold,Folding Clasp,,7612356212988.0,Women,50,2 Years,Switzerland,L152,Analog,,,,,0,,,0,,,,,,,,
Longines Spirit,281000,Longines,Longines Spirit,,L3.820.4.53.3,"Chronograph, Date",Automatic,L688.4,42.0,,Round,Steel,,Sapphire Crystal,,Black,,,Leather,Brown,,,7612356213329.0,Men,100,5 Years,Switzerland,L688.4,Analog,approx. 54 hours,,28800 bph,,0,,,0,,,,,28800.0,0.54,,
"Hampton Automatic Watch, Small Seconds - 48 X 31mm",285000,Baume & Mercier,Hampton,,MOA10528,"Date, Small Seconds",Automatic,ETA 2895,31.0,,Rectangular,Steel,,Sapphire Crystal,,Silver,,Riveted Indexes,Leather,Black,Triple Folding Buckle,,7613375364382.0,Men,50,2 Years,Switzerland,ETA 2895,Analog,approx. 42 hours,27.0,28800 bph,,0,,,0,,,,,28800.0,0.42,,
"Clifton Club Automatic Watch, Date Display, Bronze - 42mm",308000,Baume & Mercier,Clifton Club,,MOA10565,Date,Automatic,ETA 2892-A2,42.0,,Round,Bronze,,Sapphire Crystal,,Grey,,Riveted Indexes,Leather,Grey,Pin Buckle,,7613375505532.0,Men,100,2 Years,Switzerland,ETA 2892-A2,Analog,approx. 42 hours,21.0,28800 bph,,0,Unidirectional Rotating Bezel,,0,,,,,28800.0,0.42,,
"Capeland Automatic Watch, Chronograph, Date - 42mm",355000,Baume & Mercier,Capeland,,MOA10451,"Chronograph, Date",Automatic,ETA 2894-2,42.0,,Round,Steel,,Sapphire Crystal,,Black,,,Leather,Black,Triple Folding Buckle,,7613375022862.0,Men,100,2 Years,Switzerland,ETA 2894-2,Analog,approx. 42 hours,37.0,28800 bph,,0,,,0,,,,,28800.0,0.42,,
"Capeland Automatic Watch, Chronograph, Date - 42mm",355000,Baume & Mercier,Capeland,,MOA10452,"Chronograph, Date",Automatic,ETA 2894-2,42.0,,Round,Steel,,Sapphire Crystal,,Black,,,Leather,Black,,,7613375022879.0,Men,50,2 Years,Switzerland,ETA 2894-2,Analog,approx. 42 hours,37.0,28800 bph,,0,,,0,,,,,28800.0,0.42,,
"Classima Quartz Watch, Date Display - 42mm",135000,Baume & Mercier,Classima,,MOA10526,Date,Quartz,ETA F06.111,42.0,,Round,Steel,,Sapphire Crystal,,White,,,Steel,Silver,,,7613375357384.0,Men,50,2 Years,Switzerland,ETA F06.111,Analog,,3.0,,,0,,,0,,,,,,,,
SUB 200 Caribbean,112000,Doxa,SUB 200,Caribbean,799.10.201.32,Date,Automatic,ETA 2824-2,42.0,13.8,Round,Steel,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Blue,,,Rubber,Blue,Pin Buckle,,7640462130087.0,Men,200,2 Years,Switzerland,ETA 2824-2,Analog,Approx. 38 hours,25.0,28000 bph,,0,Unidirectional Rotating Bezel,19.0,0,,,,,28000.0,0.38,,
SUB 200 Divingstar,112000,Doxa,SUB 200,Divingstar,799.10.361.31,Date,Automatic,ETA 2824-2,42.0,13.8,Round,Steel,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Yellow,,,Rubber,Yellow,,,7640462130100.0,Men,200,2 Years,Switzerland,ETA 2824-2,Analog,Approx. 38 hours,25.0,28000 bph,,0,Unidirectional Rotating Bezel,19.0,0,,,,,28000.0,0.38,,
SUB 200 Aquamarine,116000,Doxa,SUB 200,Aquamarine,799.10.241.10,Date,Automatic,ETA 2824-2,42.0,13.8,Round,Steel,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Turquoise,,,Steel,Silver,Folding Clasp,,7640462130117.0,Men,200,2 Years,Switzerland,ETA 2824-2,Analog,Approx. 38 hours,25.0,28000 bph,,0,Unidirectional Rotating Bezel,19.0,0,,,,,28000.0,0.38,,
SUB 200 Aquamarine,112000,Doxa,SUB 200,Aquamarine,799.10.241.25,Date,Automatic,ETA 2824-2,42.0,13.8,Round,Steel,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Turquoise,,,Rubber,Turquoise,Pin Buckle,,7640462130124.0,Men,200,2 Years,Switzerland,ETA 2824-2,Analog,Approx. 38 hours,25.0,28000 bph,,0,Unidirectional Rotating Bezel,19.0,0,,,,,28000.0,0.38,,
SUB 300 Professional,275000,Doxa,SUB 300,Professional,821.10.351.10,Date,Automatic,Sellita SW200-1,42.5,13.4,Round,Steel,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Orange,,,Steel,Silver,Folding Clasp,,7640462130995.0,Men,300,2 Years,Switzerland,Sellita SW200-1,Analog,Approx. 38 hours,26.0,28800 bph,,0,Unidirectional Rotating Bezel,20.0,0,,,,,28800.0,0.38,,
SUB 300 Professional,270000,Doxa,SUB 300,Professional,821.10.351.21,Date,Automatic,Sellita SW200-1,42.5,13.4,Round,Steel,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Orange,Pencil,Baton,Rubber,Orange,Folding Clasp,Steel,7640462131008.0,Men,300,2 Years,Switzerland,Sellita SW200-1,Analog,Approx. 38 hours,26.0,28800 bph,,0,Unidirectional Rotating Bezel,20.0,0,,,,,28800.0,0.38,,
SUB 300 Sharkhunter,275000,Doxa,SUB 300,Sharkhunter,821.10.101.10,Date,Automatic,Sellita SW200-1,42.5,13.4,Round,Steel,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Black,,,Steel,Silver,Folding Clasp,,7640462131039.0,Men,300,2 Years,Switzerland,Sellita SW200-1,Analog,Approx. 38 hours,26.0,28800 bph,,0,Unidirectional Rotating Bezel,20.0,0,,,,,28800.0,0.38,,
